Reference,Value,Qty
"C1,C2",47u 63V,2
"C3,C6,C11,C13,C16,C21,C23,C27",100n,8
"C4,C10,C12",470n,3
"C5,C7",2200u 63V,2
C8,47u 16V,1
C9,1000u 35V,1
C14,10u 50V,1
C15,330p,1
C17,1000u 10V,1
C18,10n,1
C25,47u 35V,1
C26,470u 63V,1
"D1,D3,D6,D8,D12",1N4148,5
D2,15V,1
D4,100V 10A,1
D5,SR5100,1
"D9,D14",12V 1W,2
"D10,D11",LED,2
D15,3.0V,1
D16,1N4004,1
DS1,WC1602A,1
J1,0-12-24Vac,1
J2,UPDI,1
J3,0-24V,1
J4,Fan 24V,1
J5,+POW,1
J6,TP1,1
J7,+OUT,1
J8,-POW,1
J9,I2Csocket,1
J10,V_set,1
J11,A_set,1
JP1,Jump,1
K1,RELAY,1
L1,3A 22uH 75mΩ,1
Q1,BC817,1
Q2,BD139,1
Q3,BC857,1
Q4,TIP126,1
"Q5,Q8,Q10",BC846,3
"Q6,Q7",TIP3055,2
Q9,MMBTA06,1
R1,82,1
"R2,R4,R40,R41",390,4
R3,270,1
"R5,R19,R43,R44,R50",1000,5
R6,56K,1
"R7,R11,R21,R33,R34,R36,R39,R45,R46",4700,9
"R8,R13,R15,R18,R48",1500,5
"R9,R14,R17,R35,RV3,RV4",10K,6
R10,15K,1
R12,0.47,1
R16,2200,1
"R20,R23",22K,2
"R24,R25,R26,R27,R37",2700,5
R28,47K,1
"R29,R30",0.22,2
"R31,R42",47,2
R32,33K,1
R49,220K,1
RV1,5K,1
"RV2,RV5,RV6",100K,3
SW1,EC11,1
"U2,U5,U7",TL081,3
U3,LM337L_SO8,1
U4,L7805,1
U6,ATtiny3216-S,1
U8,MCP4725,1
